"","DBN","school_name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","Total Cohort","grads_percent","dropout_percent","boro","lat","long","bn","schoolname","responder","score","response_type","question"
"5289","02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,2.5,NA,NA,NA,NA,26,74.9,378,2.6,15.6,2,3.4,46.8,48.4,1.3,0,100,72,73.6,5.6,"Manhattan",40.7052349390004,-74.0133150399997,"M316","Urban Assembly School of Business for Young Women,","aca_s_11",17,"student","acad. expectations"
"5290","02M374","GRAMERCY ARTS HIGH SCHOOL",60,391,391,394,1176,2.5,NA,NA,NA,NA,27,59,495,3,12.3,0,2.8,45.3,45.1,6.7,26.3,73.7,93,73.1,7.5,"Manhattan",40.7355194630004,-73.9876042489997,"M374","Gramercy Arts High School","aca_s_11",13,"student","acad. expectations"
"5291","02M376","NYC ISCHOOL",92,473,483,479,1435,2.5,NA,NA,NA,NA,37,34.6,433,0.5,10.9,1,11.5,20.6,43,24,48.7,51.3,NA,NA,NA,"Manhattan",40.7243528740004,-74.0047592919997,"M376","NYC iSchool","aca_s_11",22,"student","acad. expectations"
"5292","02M392","MANHATTAN BUSINESS ACADEMY",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,64,332,9.9,13.9,2,6.6,29.5,58.7,4.8,59,41,NA,NA,NA,"Manhattan",40.7428881010004,-74.0021273809996,"M392","MANHATTAN BUSINESS ACADEMY","aca_s_11",16,"student","acad. expectations"
"5293","02M393","BUSINESS OF SPORTS SCHOOL",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,22,58.7,304,7.6,21.4,4,1.6,35.5,57.2,4.3,72.4,27.6,NA,NA,NA,"Manhattan",40.7633617320005,-73.9905090909996,"M393","BUSINESS OF SPORTS SCHOOL","aca_s_11",11,"student","acad. expectations"
"5294","02M394","EMMA LAZARUS HIGH SCHOOL",79,319,512,357,1188,2.5,NA,NA,NA,NA,25,97,250,82.8,0,NA,62.4,7.2,26.4,4,51.2,48.8,10,NA,NA,NA,NA,NA,"M394","EMMA LAZARUS HIGH SCHOOL","aca_s_11",21,"student","acad. expectations"
"5295","02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,18,80.8,244,28.3,16.8,15,44.3,15.6,32.8,5.3,48,52,NA,NA,NA,"Manhattan",40.7355194630004,-73.9876042489997,"M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY","aca_s_11",10,"student","acad. expectations"
"5296","02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",263,465,493,461,1419,213,298,152,1.39906103286385,51.006711409396,31,56.4,1394,7.1,14.4,47,16.7,14.8,57.2,11.1,50.4,49.6,352,74.4,6.3,"Manhattan",40.7677624390004,-73.9875112139997,"M400","High School for Environmental Studies","aca_s_11",19,"student","acad. expectations"
"5297","02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",54,492,465,467,1424,2.5,NA,NA,NA,NA,NA,17.9,489,0.4,8.8,2,6.3,10.2,17.6,54.6,55.2,44.8,55,76.4,3.6,"Manhattan",40.7324853780004,-73.9830533879996,"M407","Institute for Collaborative Education","aca_s_11",24,"student","acad. expectations"
"5298","02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",94,509,490,523,1522,20,20,15,1,75,29,23.5,502,2,3.2,0,7,19.1,23.7,41.8,25.3,74.7,80,92.5,0,"Manhattan",40.7614326990005,-73.9880236979997,"M408","Professional Performing Arts High School","aca_s_11",13,"student","acad. expectations"
"5299","02M411","BARUCH COLLEGE CAMPUS HIGH SCHOOL",104,496,563,518,1577,78,115,88,1.47435897435897,76.5217391304348,27,54.6,432,1.6,2.3,0,60.6,5.8,14.6,18.8,44,56,105,98.1,0,"Manhattan",40.7440472480004,-73.9914792989996,"M411","Baruch College Campus High School","aca_s_11",19,"student","acad. expectations"
"5300","02M412","N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES",114,537,590,550,1677,114,140,97,1.2280701754386,69.2857142857143,33,21.6,579,1.6,15,0,29.4,8.5,14,45.9,47,53,124,91.1,1.6,"Manhattan",40.7421007130004,-74.0020737969996,"M412","N.Y.C. Lab School for Collaborative Studies","aca_s_11",18,"student","acad. expectations"
"5301","02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",66,517,533,515,1565,11,11,NA,1,NA,NA,31,673,2.1,14.6,0,16,12.3,26,38,50.8,49.2,95,64.2,2.1,"Manhattan",40.7389488860004,-73.9854051719997,"M413","School of the Future High School","aca_s_11",18,"student","acad. expectations"
"5302","02M414","N.Y.C. MUSEUM SCHOOL",103,468,492,459,1419,2.5,NA,NA,NA,NA,28,51.6,436,0.5,9.4,0,33,11.7,39.9,15.4,42.4,57.6,106,94.3,1.9,"Manhattan",40.7421007130004,-74.0020737969996,"M414","N.Y.C. Museum School","aca_s_11",15,"student","acad. expectations"
"5303","02M416","ELEANOR ROOSEVELT HIGH SCHOOL",127,572,594,592,1758,155,235,169,1.51612903225806,71.9148936170213,27,15.8,507,0.2,1.2,0,17.2,5.5,11.6,63.7,32.5,67.5,127,100,0,"Manhattan",40.7701164710004,-73.9533791009997,"M416","Eleanor Roosevelt High School","aca_s_11",23,"student","acad. expectations"
"5304","02M418","MILLENNIUM HIGH SCHOOL",144,528,553,533,1614,86,95,67,1.1046511627907,70.5263157894737,29,32.7,626,0.2,9.1,0,30,8.8,21.7,35.9,38.2,61.8,150,96.7,0,"Manhattan",40.7049203660005,-74.0115140229997,"M418","Millennium High School","aca_s_11",20,"student","acad. expectations"
"5305","02M419","LANDMARK HIGH SCHOOL",62,390,399,381,1170,2.5,NA,NA,NA,NA,23,83.1,421,15.7,18.8,7,5.2,18.1,74.8,1.9,48.5,51.5,94,61.7,13.8,"Manhattan",40.7428881010004,-74.0021273809996,"M419","Landmark High School","aca_s_11",11,"student","acad. expectations"
"5306","02M420","HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES",336,429,449,428,1306,204,248,75,1.2156862745098,30.241935483871,32,68,1768,4,10.9,12,20.5,24.4,49.7,5.3,29.4,70.6,341,82.1,0.6,"Manhattan",40.7324853780004,-73.9830533879996,"M420","High School for Health Professions and Human Servi","aca_s_11",12,"student","acad. expectations"
"5307","02M425","LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL",84,416,426,391,1233,70,84,32,1.2,38.0952380952381,28,74.2,607,5.4,18.6,45,8.1,30.5,54.2,6.6,46.1,53.9,144,54.2,16,"Manhattan",40.7091465390004,-74.0120766269997,"M425","Leadership and Public Service High School","aca_s_11",10,"student","acad. expectations"
"5308","02M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,23,97.5,175,86.9,6.9,2,6.3,8,84.6,1.1,54.9,45.1,NA,NA,NA,"Manhattan",40.7461063750005,-73.9810096669996,"M427","MANHATTAN ACADEMY FOR ARTS & LANGUAGE","aca_s_11",17,"student","acad. expectations"
"5309","02M429","LEGACY SCHOOL FOR INTEGRATED STUDIES",29,356,357,349,1062,22,26,NA,1.18181818181818,NA,20,93.9,294,8.2,22.4,20,1.4,45.2,51.4,1.7,49,51,73,47.9,6.8,NA,NA,NA,"M429","Legacy School for Integrated Studies","aca_s_11",11,"student","acad. expectations"
"5310","02M437","HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,28,61.5,226,8.8,16.4,10,5.8,23.5,62.4,6.6,60.6,39.4,NA,NA,NA,"Manhattan",40.7428881010004,-74.0021273809996,"M437","HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES","aca_s_11",16,"student","acad. expectations"
"5311","02M438","INTERNATIONAL HIGH SCHOOL AT UNION SQUARE",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,24,82.8,176,94.9,0.6,0,40.3,12.5,43.2,3.4,61.4,38.6,NA,NA,NA,"Manhattan",40.7355194630004,-73.9876042489997,"M438","INTERNATIONAL HIGH SCHOOL AT UNION SQUARE","aca_s_11",14,"student","acad. expectations"
"5312","02M439","MANHATTAN VILLAGE ACADEMY",95,441,473,458,1372,42,69,29,1.64285714285714,42.0289855072464,21,60.3,429,3.7,8.2,2,6.3,16.8,71.8,4.9,38.5,61.5,110,98.2,0,"Manhattan",40.741494699,-73.9914450529997,"M439","Manhattan Village Academy","aca_s_11",20,"student","acad. expectations"
"5313","02M440","BAYARD RUSTIN EDUCATIONAL COMPLEX",59,378,365,368,1111,6,6,NA,1,NA,26,75.5,208,26,13.5,9,6.3,27.9,62.5,2.4,63.9,36.1,365,38.1,18.6,NA,NA,NA,"M440","Bayard Rustin Educational Complex","aca_s_11",2,"student","acad. expectations"
"5314","02M449","VANGUARD HIGH SCHOOL",72,395,416,388,1199,2.5,NA,NA,NA,NA,19,69.5,444,6.1,17.3,7,9.9,25.7,59,4.5,46.2,53.8,89,44.9,3.4,"Manhattan",40.7654454020005,-73.9602137859997,"M449","Vanguard High School","aca_s_11",16,"student","acad. expectations"
"5315","02M459","MANHATTAN INTERNATIONAL HIGH SCHOOL",49,376,460,391,1227,12,12,6,1,50,20,80.7,325,77.5,0.3,0,33.5,14.8,36.9,14.5,44.3,55.7,69,55.1,7.2,"Manhattan",40.7654454020005,-73.9602137859997,"M459","Manhattan International High School","aca_s_11",17,"student","acad. expectations"
"5316","02M460","WASHINGTON IRVING HIGH SCHOOL",151,373,387,360,1120,69,83,21,1.20289855072464,25.3012048192771,24,66,1032,18.6,17.2,80,4.8,34.3,58.2,2.3,47.5,52.5,443,51.9,26.6,NA,NA,NA,"M460","Washington Irving High School","aca_s_11",10,"student","acad. expectations"
"5317","02M473","WASHINGTON IRVING YABC",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M473","Washington Irving Yabc","aca_s_11",17,"student","acad. expectations"
"5318","02M475","STUYVESANT HIGH SCHOOL",832,679,735,682,2096,1510,2819,2648,1.86688741721854,93.934019155729,31,30.3,3297,0,0.4,0,72.1,1.2,2.4,23.7,59.3,40.7,787,98.3,0.4,"Manhattan",40.7177464150004,-74.0140490429997,"M475","Stuyvesant High School","aca_s_11",20,"student","acad. expectations"
"5319","02M489","HIGH SCHOOL OF ECONOMICS AND FINANCE",167,443,489,442,1374,101,176,78,1.74257425742574,44.3181818181818,27,60.8,809,6.3,11.9,12,24.8,22.5,43.5,8.8,54.5,45.5,177,76.8,7.3,"Manhattan",40.7092196250004,-74.0120259149996,"M489","High School of Economics and Finance","aca_s_11",12,"student","acad. expectations"
"5320","02M500","UNITY CENTER FOR URBAN TECHNOLOGIES",25,370,349,351,1070,2.5,NA,NA,NA,NA,25,83.5,237,15.6,32.9,14,3.8,35,55.3,2.5,62.4,37.6,53,73.6,11.3,"Manhattan",40.7461063750005,-73.9810096669996,"M500","Unity Center for Urban Technologies","aca_s_11",20,"student","acad. expectations"
"5321","02M519","TALENT UNLIMITED HIGH SCHOOL",81,469,472,475,1416,30,34,21,1.13333333333333,61.7647058823529,26,45.5,491,0.2,3.5,0,4.5,36,39.3,19.8,21.4,78.6,136,92.6,0,"Manhattan",40.7654454020005,-73.9602137859997,"M519","Talent Unlimited High School","aca_s_11",16,"student","acad. expectations"
"5322","02M520","MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS",264,407,440,393,1240,118,157,76,1.33050847457627,48.4076433121019,27,72.7,2073,10.2,14.1,108,10.5,39.9,46.6,2.3,49.1,50.9,637,56.4,11.6,"Manhattan",40.7106794710004,-74.0008070209997,"M520","Murry Bergtraum High School for Business Careers","aca_s_11",6,"student","acad. expectations"
"5323","02M529","JACQUELINE KENNEDY ONASSIS HIGH SCHOOL",131,414,425,400,1239,80,118,29,1.475,24.5762711864407,26,73,724,9.8,13.7,30,5.1,22.7,69.9,1.8,40.6,59.4,148,64.9,10.1,"Manhattan",40.7577573860004,-73.9831877929997,"M529","Jacqueline Kennedy Onassis High School","aca_s_11",15,"student","acad. expectations"
"5324","02M531","REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS",42,429,404,420,1253,2.5,NA,NA,NA,NA,24,65.3,217,0.5,5.1,0,1.4,47.9,42.4,7.4,21.2,78.8,49,85.7,8.2,"Manhattan",40.755942582,-73.9845677019997,"M531","Repertory Company High School for Theatre Arts","aca_s_11",6,"student","acad. expectations"
"5325","02M542","MANHATTAN BRIDGES HIGH SCHOOL",66,336,378,344,1058,67,102,59,1.52238805970149,57.843137254902,23,83.5,541,72.6,1.7,5,0.2,0,99.8,0,51.4,48.6,111,69.4,13.5,"Manhattan",40.7650267080004,-73.9925165779997,"M542","Manhattan Bridges High School","aca_s_11",16,"student","acad. expectations"
"5326","02M543","NEW DESIGN HIGH SCHOOL",73,391,395,382,1168,2.5,NA,NA,NA,NA,23,66.1,423,5.4,17.5,9,3.8,30.3,62.2,2.6,38.3,61.7,101,67.3,7.9,"Manhattan",40.7168672240004,-73.9895319429996,"M543","New Design High School","aca_s_11",15,"student","acad. expectations"
"5327","02M544","INDEPENDENCE HIGH SCHOOL",14,389,371,335,1095,2.5,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,17.2,13.1,NA,NA,NA,"M544","Independence High School","aca_s_11",36,"student","acad. expectations"
"5328","02M545","HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES",78,412,581,431,1424,61,96,89,1.57377049180328,92.7083333333333,22,82.6,353,38.2,2.3,0,89.5,3.4,4,2.3,51.3,48.7,54,92.6,0,"Manhattan",40.7168672240004,-73.9895319429996,"M545","High School for Dual Language and Asian Studies","aca_s_11",1,"student","acad. expectations"
"5329","02M550","LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS",26,368,436,352,1156,2.5,NA,NA,NA,NA,19,79.5,397,90.2,2,0,25.7,19.9,42.1,11.8,61,39,97,49.5,19.6,NA,NA,NA,"M550","Liberty High School Academy for Newcomers","aca_s_11",16,"student","acad. expectations"
"5330","02M551","THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL",77,405,423,384,1212,7,7,NA,1,NA,24,73.5,430,4.2,17.9,12,2.3,37.4,49.3,10.2,60.9,39.1,77,80.5,18.2,"Manhattan",40.6907876290004,-74.0197573259996,"M551","New York Harbor School","aca_s_11",15,"student","acad. expectations"
"5331","02M560","HIGH SCHOOL M560 s CITY AS SCHOOL",56,498,440,477,1415,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,45.1,0.9,NA,NA,NA,"M560","High School M560 - City As School","aca_s_11",26,"student","acad. expectations"
"5332","02M565","URBAN ACADEMY LABORATORY HIGH SCHOOL",30,527,508,512,1547,2.5,NA,NA,NA,NA,NA,32.1,157,1.3,0,NA,5.1,33.8,38.2,20.4,40.8,59.2,46,41.3,2.2,NA,NA,NA,"M565","Urban Academy Laboratory High School","aca_s_11",34,"student","acad. expectations"
"5333","02M570","SATELLITE ACADEMY HIGH SCHOOL",33,350,337,345,1032,2.5,NA,NA,NA,NA,NA,72.8,248,6.5,14.1,2,1.6,35.1,59.7,2.8,38.7,61.3,379,12.7,10.8,NA,NA,NA,"M570","Satellite Academy High School","aca_s_11",20,"student","acad. expectations"
"5334","02M575","MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL",121,345,517,343,1205,58,100,61,1.72413793103448,61,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,45.4,16.9,NA,NA,NA,"M575","Manhattan Comprehensive Night and Day High School","aca_s_11",24,"student","acad. expectations"
"5335","02M580","RICHARD R. GREEN HIGH SCHOOL OF TEACHING",84,408,384,403,1195,67,117,40,1.74626865671642,34.1880341880342,26,67,610,6.4,21.8,16,2.3,35.1,59.3,2.3,32.6,67.4,134,64.9,11.2,"Manhattan",40.7052349390004,-74.0133150399997,"M580","Richard R. Green High School of Teaching","aca_s_11",11,"student","acad. expectations"
"5336","02M586","HARVEY MILK HIGH SCHOOL",9,458,416,429,1303,2.5,NA,NA,NA,NA,14,75.7,68,1.5,22.1,0,5.9,38.2,39.7,16.2,47.1,52.9,30,40,23.3,NA,NA,NA,"M586","Harvey Milk High School","aca_s_11",21,"student","acad. expectations"
"5337","02M600","THE HIGH SCHOOL OF FASHION INDUSTRIES",335,423,423,411,1257,70,87,26,1.24285714285714,29.8850574712644,31,68.3,1599,2.8,11.5,42,3.8,39.1,52.3,4.1,7.3,92.7,416,87.7,2.4,"Manhattan",40.7451115710004,-73.9959064199996,"M600","The High School of Fashion Industries","aca_s_11",14,"student","acad. expectations"
"5338","02M605","HUMANITIES PREPARATORY ACADEMY",36,426,403,426,1255,2.5,NA,NA,NA,NA,24,54,192,1,6.8,0,7.3,21.9,57.8,11.5,42.7,57.3,48,81.3,2.1,"Manhattan",40.7428881010004,-74.0021273809996,"M605","Humanities Preparatory Academy","aca_s_11",14,"student","acad. expectations"
"5339","02M615","CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL",83,399,418,390,1207,52,97,13,1.86538461538462,13.4020618556701,25,69.8,466,6.2,15.7,10,7.1,29.6,60.5,1.5,65,35,173,48,24.9,"Manhattan",40.7243528740004,-74.0047592919997,"M615","Chelsea Career and Technical Education High School","aca_s_11",14,"student","acad. expectations"
"5340","02M620","NORMAN THOMAS HIGH SCHOOL",154,370,379,359,1108,34,34,14,1,41.1764705882353,24,81.1,1127,19.3,15.5,66,1.6,25.6,70.6,2,52,48,464,47.8,22.6,NA,NA,NA,"M620","Norman Thomas High School","aca_s_11",9,"student","acad. expectations"
"5341","02M625","HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS",191,395,382,376,1153,79,85,9,1.07594936708861,10.5882352941176,27,72.7,1433,9.1,17.2,78,3.1,30.3,63.8,2.6,46.5,53.5,407,49.6,25.1,NA,NA,NA,"M625","High School of Graphic Communication Arts","aca_s_11",6,"student","acad. expectations"
"5342","02M630","ART AND DESIGN HIGH SCHOOL",270,444,441,430,1315,84,100,33,1.19047619047619,33,29,53.3,1344,1.6,11.1,32,9,26.8,51,12.6,46.7,53.3,320,67.5,6.9,"Manhattan",40.7654015410004,-73.9817682459997,"M630","Art and Design High School","aca_s_11",13,"student","acad. expectations"
"5343","02M655","LIFE SCIENCES SECONDARY SCHOOL",61,409,424,403,1236,50,90,10,1.8,11.1111111111111,24,70.3,717,7.9,19.7,43,3.3,28.6,64.3,2.4,51.6,48.4,118,79.7,5.9,"Manhattan",40.7836442600004,-73.9457417769996,"M655","Life Sciences Secondary School","aca_s_11",10,"student","acad. expectations"
"5344","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",27,406,379,408,1193,2.5,NA,NA,NA,NA,27,59.6,409,8.6,10.5,26,1.7,46,49.4,2.2,31.8,68.2,74,55.4,8.1,NA,NA,NA,"M283","Manhattan Theatre Lab High School","aca_s_11",11,"student","acad. expectations"
"5345","03M299","HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374,1132,2.5,NA,NA,NA,NA,24,66.4,418,14.4,19.6,13,1,37.3,58.9,1.4,55.7,44.3,89,61.8,7.9,"Manhattan",40.7742964110004,-73.9848227009996,"M299","High School for Arts, Imagination and Inquiry","aca_s_11",12,"student","acad. expectations"
"5346","03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370,1144,2.5,NA,NA,NA,NA,20,68.8,366,12.8,15.3,10,2.2,37.4,56,3,57.9,42.1,100,60,19,"Manhattan",40.7742964110004,-73.9848227009996,"M307","Urban Assembly School for Media Studies, The","aca_s_11",17,"student","acad. expectations"
"5347","03M402","THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,10,73.2,283,25.1,21.6,9,1.8,19.8,76,1.8,56.9,43.1,NA,NA,NA,"Manhattan",40.7857431570004,-73.9744152279997,"M402","THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS","aca_s_11",13,"student","acad. expectations"
"5348","03M403","THE GLOBAL LEARNING COLLABORATIVE",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,68.4,358,19.3,19.3,7,3.6,27.7,62.6,5.9,51.4,48.6,NA,NA,NA,"Manhattan",40.7857431570004,-73.9744152279997,"M403","THE GLOBAL LEARNING COLLABORATIVE","aca_s_11",15,"student","acad. expectations"
"5349","03M404","INNOVATION DIPLOMA PLUS",12,416,403,381,1200,2.5,NA,NA,NA,NA,17,50.4,199,3.5,10.1,0,48.7,33.2,16.6,1.5,47.7,52.3,39,28.2,5.1,NA,NA,NA,"M404","INNOVATION DIPLOMA PLUS","aca_s_11",16,"student","acad. expectations"
"5350","03M415","WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS",32,371,368,370,1109,65,73,NA,1.12307692307692,NA,24,76.6,516,7.4,18.8,60,0.4,59.9,38.8,0.8,38.4,61.6,127,55.9,1.6,"Manhattan",40.8021745810005,-73.9540088279996,"M415","Wadleigh Secondary School for the Performing & Vis","aca_s_11",7,"student","acad. expectations"
"5351","03M417","FRANK MCCOURT HIGH SCHOOL",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,24,219,0.9,17.4,0,6.8,18.3,37,37,46.6,53.4,NA,NA,NA,"Manhattan",40.7857431570004,-73.9744152279997,"M417","FRANK McCOURT HIGH SCHOOL","aca_s_11",18,"student","acad. expectations"
"5352","03M470","LOUIS D. BRANDEIS HIGH SCHOOL",131,370,390,358,1118,48,70,6,1.45833333333333,8.57142857142857,22,68.6,291,27.8,10.7,8,2.1,29.6,67.4,1,50.5,49.5,521,35.5,23,NA,NA,NA,"M470","Louis D. Brandeis High School","aca_s_11",7,"student","acad. expectations"
"5353","03M479","BEACON HIGH SCHOOL",261,577,575,592,1744,166,197,140,1.18674698795181,71.0659898477157,31,18.4,1162,0.2,3.7,0,8.9,14.6,22.8,49.8,39,61,269,96.3,0,"Manhattan",40.7721581190005,-73.9877965349996,"M479","Beacon High School","aca_s_11",23,"student","acad. expectations"
"5354","03M485","FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS",531,566,564,577,1707,691,1236,790,1.78871201157742,63.915857605178,31,21.7,2605,0.2,1,0,19.6,12.9,16.6,49.2,26.4,73.6,646,97.1,0.9,"Manhattan",40.7736705070005,-73.9852685579996,"M485","Fiorello H. LaGuardia High School of Music & Art a","aca_s_11",17,"student","acad. expectations"
"5355","03M492","HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402,1196,2.5,NA,NA,NA,NA,23,79.9,541,10.5,15.5,38,1.3,46.2,48.1,1.8,40.1,59.9,107,75.7,9.3,"Manhattan",40.7742964110004,-73.9848227009996,"M492","High School for Law, Advocacy and Community Justic","aca_s_11",15,"student","acad. expectations"
"5356","03M494","HIGH SCHOOL OF ARTS AND TECHNOLOGY",75,433,433,411,1277,38,38,6,1,15.7894736842105,28,79.8,603,10.4,17.2,26,5,34.8,57.2,2.3,67.7,32.3,137,62.8,6.6,"Manhattan",40.7742964110004,-73.9848227009996,"M494","High School of Arts and Technology","aca_s_11",12,"student","acad. expectations"
"5357","03M505","EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL",35,401,369,351,1121,2.5,NA,NA,NA,NA,21,70.5,564,7.8,23,20,0.5,34.6,64.4,0.5,44.3,55.7,200,27.5,6.5,NA,NA,NA,"M505","Edward A. Reynolds West Side High School","aca_s_11",16,"student","acad. expectations"
"5358","03M541","MANHATTAN / HUNTER SCIENCE HIGH SCHOOL",111,473,506,467,1446,2.5,NA,NA,NA,NA,22,55.2,453,1.3,3.8,0,25.6,21.4,41.5,10.2,41.1,58.9,90,93.3,1.1,"Manhattan",40.7742964110004,-73.9848227009996,"M541","Manhattan / Hunter Science High School","aca_s_11",17,"student","acad. expectations"
"5359","03M577","YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M577","Brandeis Yabc","aca_s_11",17,"student","acad. expectations"
"5360","03M860","FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL",43,356,379,361,1096,11,11,NA,1,NA,22,64.2,413,5.8,20.8,24,0.7,77.7,18.9,1.5,54.2,45.8,54,74.1,13,"Manhattan",40.8021745810005,-73.9540088279996,"M860","Frederick Douglass Academy II Secondary School","aca_s_11",11,"student","acad. expectations"
"5361","04M409","COALITION SCHOOL FOR SOCIAL CHANGE",48,354,357,373,1084,18,18,NA,1,NA,21,71.8,349,9.7,24.4,17,0.9,39.3,58.7,0.9,44.4,55.6,76,65.8,13.2,"Manhattan",40.798865182,-73.9333655969996,"M409","Coalition School for Social Change","aca_s_11",13,"student","acad. expectations"
"5362","04M435","MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS",375,461,514,455,1430,328,426,261,1.29878048780488,61.2676056338028,31,71.6,1650,2.7,5.8,29,20.1,19.7,57.4,2.2,46.4,53.6,381,87.7,1.3,"Manhattan",40.7937417060004,-73.9340841419997,"M435","Manhattan Center for Science and Mathematics","aca_s_11",13,"student","acad. expectations"
"5363","04M495","PARK EAST HIGH SCHOOL",51,373,379,376,1128,2.5,NA,NA,NA,NA,19,76.8,349,4.3,10.6,3,4.9,33.2,59.6,0.3,42.1,57.9,92,57.6,10.9,"Manhattan",40.7905626,-73.9444544079997,"M495","Park East High School","aca_s_11",17,"student","acad. expectations"
"5364","04M555","CENTRAL PARK EAST HIGH SCHOOL",73,405,421,395,1221,2.5,NA,NA,NA,NA,25,70.4,445,4,13.5,5,6.5,26.7,64.5,1.6,32.1,67.9,63,66.7,11.1,"Manhattan",40.7936788820004,-73.9494164949996,"M555","Central Park East High School","aca_s_11",15,"student","acad. expectations"
"5365","04M610","YOUNG WOMEN'S LEADERSHIP SCHOOL",70,432,446,448,1326,41,55,29,1.34146341463415,52.7272727272727,26,67.3,449,2.2,6.7,0,5.1,31.2,60.1,1.6,0,100,55,100,0,"Manhattan",40.7927069560004,-73.9472996619996,"M610","Young Women's Leadership School","aca_s_11",24,"student","acad. expectations"
"5366","04M610","YOUNG WOMEN'S LEADERSHIP SCHOOL",70,432,446,448,1326,2.5,NA,NA,NA,NA,26,67.3,449,2.2,6.7,0,5.1,31.2,60.1,1.6,0,100,55,100,0,"Manhattan",40.7927069560004,-73.9472996619996,"M610","Young Women's Leadership School","aca_s_11",24,"student","acad. expectations"
"5367","04M635","ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL",48,369,369,357,1095,2.5,NA,NA,NA,NA,26,62.7,192,13.5,18.8,14,4.2,27.6,65.6,2.1,62,38,75,41.3,20,NA,NA,NA,"M635","Academy of Environmental Science Secondary High Sc","aca_s_11",10,"student","acad. expectations"
"5368","04M680","HERITAGE SCHOOL, THE",31,358,351,345,1054,2.5,NA,NA,NA,NA,21,71.8,294,6.8,24.8,12,0.3,28.9,69.4,1,48.6,51.4,75,56,9.3,"Manhattan",40.7918796180004,-73.9465863999997,"M680","Heritage School, The","aca_s_11",11,"student","acad. expectations"
